"crawler_id","keyword","asset_id","account_id","keyword_id","start_url"
8,"26 Color Eyeshadow",127,25,365,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=26+color+eyeshadow"
8,"Happy Face Sponge",191,26,372,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=happy+face+sponge"
8,"Into The AM",197,43,385,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=into+the+am"
8,"iHeartRaves",196,43,386,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=iHeartRaves"
8,"Dipbro",110,11,389,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dipbro"
8,"Face Concealing Cosmetic",39,9,397,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=face+concealing+cosmetic"
8,"Pro Makeup Full Cover Primer Concealer",39,9,398,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=pro+makeup+full+cover+primer+concealer"
8,"L.A.Girl",11,9,399,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=l.a.girl"
8,"Hud Beauty",171,24,413,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=hud+beauty"
8,"HD Beauty",171,24,414,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=hd+beauty"
8,"Stay All Day Lip",171,24,415,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=stay+all+day+lip"
8,"Beauty Huda",171,24,416,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=beauty+huda"
8,"Sugar Glow Kit",218,11,443,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sugar+glow+kit&catalog=#Homesearch201403"
8,"Matte Lip Gloss",171,24,445,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=matte+lip+gloss"
8,"Desert Dusk",235,24,463,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Desert+Dusk"
8,"Prism Palette",219,11,468,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=prism+palette&catalog=#Homesearch201403"
8,"Gorgeous Mermaid Backless Wedding Dresses Sweetheart Cap Sleeve",241,30,470,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Gorgeous+Mermaid+Backless+Wedding+Dresses+Sweetheart+Cap+Sleeve"
8,"Strobe lip",171,24,549,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=strobe+lip&catalog=#hpsearch1507"
8,"Soft Glam",296,11,612,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=soft+glam&catalog=#Homesearch201403"
8,"microtech knives",325,167,644,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=microtech+knives"
8,"microtech knife",325,167,645,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=microtech+knife"
8,"Catalyst Case",326,168,648,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Catalyst"
8,"Golf Grip",27,20,768,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=golf+grip"
8,"Portable Face Shade",377,194,816,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Portable+Face+Shade"
8,"Beach Face Shade",377,194,817,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Beach+Face+Shade"
8,"Portable Beach Shade",377,194,818,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Portable+Beach+Shade"
8,"Beach Sun Shade",377,194,819,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Beach+Sun+Shade"
8,"Head Shade",377,194,820,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Head+Shade"
8,"Tour Velvet",471,20,920,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=tour+velvet"
8,"2G Golf",476,20,924,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=2g+golf"
8,"CP2 Golf",477,20,925,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=cp2+golf"
8,"Align Golf",475,20,926,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=align+golf"
8,"Gorjana",497,302,948,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=gorjana"
8,"Seagate Electronics",518,322,971,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=seagate+electronics"
8,"Dr. Sinatra",524,327,977,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dr+sinatra"
8,"Dr. Stephen Sinatra",524,327,978,"http://www.dhgate.com/wholesale/search.do?searchkey=Dr.+Stephen+Sinatra"
8,"Dr. Whitaker",525,327,979,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dr+whitaker"
8,"Dr. Julian Whitaker",525,327,980,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dr+julian+whitaker"
8,"Twelve South",529,329,987,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=twelve+south"
8,"Voloom",530,330,988,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=voloom"
8,"BookBook",546,329,1007,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=BookBook"
8,"Halo Knife",577,167,1039,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=halo+knife"
8,"Socom Knife",578,167,1040,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=socom+knife"
8,"Marfione",591,167,1055,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=marfione"
8,"Troodon Knife",592,167,1056,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=troodon+knife"
8,"Scarab Knife",593,167,1057,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=scarab+knife"
8,"Ultratech Knife",594,167,1058,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=ultratech+knife"
8,"MuscleGen Research",596,355,1061,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=MuscleGen+Research"
8,"SilcSkin",623,370,1090,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=SilcSkin"
8,"Decollette Pad",629,370,1097,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=decollette+Pad"
8,"Norvina",648,11,1125,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=norvina&catalog=#Homesearch201403"
8,"eyebrow pomade",110,11,1126,"https://www.dhgate.com/w/eyebrow+pomade.html"
8,"Sultry Eyeshadow",659,11,1145,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sultry+eyeshadow&catalog=#Homesearch201403"
8,"BookArc",662,329,1157,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=BookArc"
8,"HiRise",663,329,1158,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=HiRise"
8,"Actionsleeve",664,329,1159,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Actionsleeve"
8,"Compass iPad",665,329,1160,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=compass&catalog=105#Homesearch201403"
8,"Halter",674,402,1178,"https://www.dhgate.com/wholesale/halter/s011.html#cs-011-1"
8,"Sultry",659,11,1212,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sultry&catalog=018#Homesearch201403"
8,"Blue Lizard",736,440,1273,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=blue+lizard"
8,"Critical Tattoo",742,446,1280,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Critical+Tattoo"
8,"AtomX Power",775,446,1316,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=atomx+power"
8,"Atom Power",775,446,1320,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=atom+power"
8,"Nomad",779,473,1321,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=nomad&catalog=105#Homesearch201403"
8,"TATSoul",782,476,1324,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=TATSoul"
8,"Wrath Tubes",783,476,1325,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=wrath+tubes"
8,"Envy Needle",784,476,1328,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=envy+needle"
8,"Panoxyl",806,497,1349,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Panoxyl"
8,"Sarna",807,498,1350,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sarna"
8,"Tesla Model 3 Wireless Charger",815,473,1361,"https://www.dhgate.com/wholesale/search.do?&searchkey=tesla+model+3+wireless+phone+charger"
8,"Glazzi Concealer",74,9,1368,"https://www.dhgate.com/wholesale/search.do?searchkey=glazzi&catalog=#hpsearch1806"
8,"HeroClip",849,529,1456,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=heroclip&catalog=#hpsearch1806"
8,"Buckle Toy",850,530,1457,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=buckle+toy"
8,"Galia Dress",241,30,1461,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=galia+dress"
8,"Alastin",863,542,1474,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=Alastin"
8,"Flippy",865,543,1475,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=flippy"
8,"Tablet Pillow",865,543,1480,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=tablet+pillow"
8,"Obsessions Palette",171,24,1481,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=obsessions+palette&catalog=#pusearch1812"
8,"Power Bullet Lipstick",171,24,1482,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=power+bullet+lipstick&catalog=#hpsearch1806"
8,"Nymph",171,24,1483,"https://www.dhgate.com/wholesale/nymph/s018.html#listing_catefilter-018"
8,"Melted Eyeshadow",171,24,1484,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=melted+eyeshadow&catalog=#hpsearch1806"
8,"Nude Palette",171,24,1485,"https://www.dhgate.com/wholesale/nude+palette/s018.html#listing_catefilter-018"
8,"Resting Boss Face",171,24,1486,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=resting+boss+face&catalog=#pusearch1812"
8,"3D Highlighter",171,24,1487,"https://www.dhgate.com/wholesale/3d+highlighter/s018.html#listing_catefilter-018"
8,"FauxFilter Foundation",171,24,1489,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=fauxfilter+foundation&catalog=#hpsearch1806"
8,"Winter Solstice",171,24,1490,"https://www.dhgate.com/wholesale/winter+solstice/s018.html"
8,"Summer Solstice",171,24,1491,"https://www.dhgate.com/wholesale/summer+solstice/s018.html"
8,"Pink Sands",171,24,1493,"https://www.dhgate.com/wholesale/pink+sands/s018.html#listing_catefilter-018"
8,"Demi Matte Lipstick",171,24,1494,"https://www.dhgate.com/wholesale/demi+matte+lipstick/s018.html#listing_catefilter-018"
8,"Retrograde Palette",171,24,1509,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=retrograde+palette&catalog=#hpsearch1806"
8,"chargekey",893,473,1521,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=chargekey"
8,"No!No!",895,569,1523,"http://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=No!no!"
8,"Nono Removal",895,569,1524,"http://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=nono+removal"
8,"Dirac",909,167,1540,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dirac"
8,"Tachyon Knife",910,167,1541,"https://www.dhgate.com/wholesale/search.do?act=search&searchkey=tachyon+knife"
8,"Cypher Knife",911,167,1542,"https://www.dhgate.com/wholesale/search.do?act=search&searchkey=cypher+knife"
8,"Matrix Knife",913,167,1543,"https://www.dhgate.com/wholesale/search.do?act=search&searchkey=matrix+knife"
8,"Interceptor Knife",915,167,1544,"https://www.dhgate.com/wholesale/search.do?act=search&searchkey=interceptor+knife"
8,"UTX-70",917,167,1546,"https://www.dhgate.com/wholesale/search.do?act=search&searchkey=UTX-70"
8,"Seagate",518,322,1574,"https://www.dhgate.com/wholesale/search.do?searchkey=Seagate"
8,"Barracuda",942,322,1576,"https://www.dhgate.com/wholesale/Barracuda/s104.html#listing_catefilter-104"
8,"Exos",943,322,1577,"https://www.dhgate.com/wholesale/search.do?searchkey=Exos"
8,"Lyve Drive",944,322,1578,"https://www.dhgate.com/wholesale/search.do?searchkey=Lyve+Drive"
8,"Firecuda",945,322,1579,"https://www.dhgate.com/wholesale/search.do?searchkey=Firecuda"
8,"IronWolf",946,322,1580,"https://www.dhgate.com/wholesale/search.do?searchkey=IronWolf"
8,"Nytro",947,322,1581,"https://www.dhgate.com/wholesale/search.do?searchkey=Nytro"
8,"SkyHawk",948,322,1582,"https://www.dhgate.com/wholesale/SkyHawk/s104.html#listing_catefilter-104"
8,"The Breather",954,604,1589,"https://www.dhgate.com/wholesale/search.do?searchkey=The+Breather"
8,"expiratory inspiratory",954,604,1590,"https://www.dhgate.com/wholesale/search.do?searchkey=expiratory+inspiratory"
8,"Smart Pot",958,607,1593,"https://www.dhgate.com/wholesale/search.do?searchkey=Smart+Pot"
8,"High Caliper Growing",960,607,1595,"https://www.dhgate.com/wholesale/search.do?searchkey=High+Caliper+Growing"
8,"collapsible water bottle",967,582,1602,"https://www.dhgate.com/wholesale/search.do?searchkey=collapsible+water+bottle"
8,"foldable water bottle",967,582,1603,"https://www.dhgate.com/wholesale/search.do?searchkey=foldable+water+bottle"
8,"exocet",975,167,1611,"https://www.dhgate.com/wholesale/search.do?searchkey=exocet"
8,"OCuSOFT",978,620,1619,"https://www.dhgate.com/wholesale/search.do?searchkey=OCuSOFT"
8,"Lid Scrub",978,620,1620,"https://www.dhgate.com/wholesale/search.do?searchkey=Lid+Scrub"
8,"socom elite",325,167,1626,"https://www.dhgate.com/wholesale/search.do?searchkey=socom+elite"
8,"Bold Hold",985,623,1632,"https://www.dhgate.com/wholesale/search.do?searchkey=Bold+Hold"
8,"The Hair Diagram",987,623,1634,"https://www.dhgate.com/wholesale/search.do?searchkey=The+Hair+Diagram"
8,"Yeezy",991,626,1638,"https://www.dhgate.com/wholesale/search.do?searchkey=Yeezy"
8,"Kanye West",990,626,1639,"https://www.dhgate.com/wholesale/search.do?searchkey=Kanye+West"
8,"ipad pillow",992,543,1640,"https://www.dhgate.com/wholesale/search.do?searchkey=ipad+pillow"
8,"Grayl",994,628,1643,"https://www.dhgate.com/wholesale/search.do?searchkey=Grayl"
8,"Onepress",995,628,1644,"https://www.dhgate.com/wholesale/search.do?searchkey=Onepress"
8,"Geopress",996,628,1645,"https://www.dhgate.com/wholesale/search.do?searchkey=Geopress"
8,"sup putter grip",109,33,1668,"https://www.dhgate.com/wholesale/search.do?searchkey=sup+putter+grip"
